Scenario,TraceFile,Algorithm,PageTableType,PageSizeKB,MemorySizeKB,TotalAccesses,PageFaults,DirtyPages,ExecutionTimeSeconds
1,./input/compressor.log,lfu,invertida,4,256,1000000,299627,45132,0.306388
1,./input/compressor.log,lfu,invertida,4,512,1000000,284215,43255,0.358723
1,./input/compressor.log,lfu,invertida,4,1024,1000000,390,34,0.129870
1,./input/compressor.log,lfu,invertida,4,2048,1000000,317,0,0.134611
1,./input/compressor.log,lfu,invertida,4,4096,1000000,317,0,0.129366
1,./input/compressor.log,lfu,invertida,4,8192,1000000,317,0,0.159251
1,./input/compressor.log,lfu,invertida,4,16384,1000000,317,0,0.137198
1,./input/simulador.log,lru,densa,4,128,1000000,67747,13730,0.132156
1,./input/simulador.log,lru,densa,4,256,1000000,41186,9672,0.136993
1,./input/simulador.log,lru,densa,4,512,1000000,21090,6526,0.133712
1,./input/simulador.log,lru,densa,4,1024,1000000,11240,4092,0.141492
1,./input/simulador.log,lru,densa,4,2048,1000000,5823,2444,0.131275
1,./input/simulador.log,lru,densa,4,4096,1000000,4468,1846,0.127657
1,./input/simulador.log,lru,densa,4,8192,1000000,3951,1356,0.141670
1,./input/simulador.log,lru,densa,4,16384,1000000,3890,0,0.148019
1,./input/simulador.log,lru,hier2,4,128,1000000,67747,13730,0.148126
1,./input/simulador.log,lru,hier2,4,256,1000000,41186,9672,0.160923
1,./input/simulador.log,lru,hier2,4,512,1000000,21090,6526,0.149300
1,./input/simulador.log,lru,hier2,4,1024,1000000,11240,4092,0.145391
1,./input/simulador.log,lru,hier2,4,2048,1000000,5823,2444,0.134756
1,./input/simulador.log,lru,hier2,4,4096,1000000,4468,1846,0.150113
1,./input/simulador.log,lru,hier2,4,8192,1000000,3951,1356,0.149690
1,./input/simulador.log,lru,hier2,4,16384,1000000,3890,0,0.177321
1,./input/simulador.log,lru,hier3,4,128,1000000,67747,13730,0.133552
1,./input/simulador.log,lru,hier3,4,256,1000000,41186,9672,0.128461
1,./input/simulador.log,lru,hier3,4,512,1000000,21090,6526,0.134975
1,./input/simulador.log,lru,hier3,4,1024,1000000,11240,4092,0.130262
1,./input/simulador.log,lru,hier3,4,2048,1000000,5823,2444,0.124929
1,./input/simulador.log,lru,hier3,4,4096,1000000,4468,1846,0.129928
1,./input/simulador.log,lru,hier3,4,8192,1000000,3951,1356,0.162564
1,./input/simulador.log,lru,hier3,4,16384,1000000,3890,0,0.129061
1,./input/simulador.log,lru,invertida,4,128,1000000,67747,13730,0.148952
1,./input/simulador.log,lru,invertida,4,256,1000000,41186,9672,0.142206
1,./input/simulador.log,lru,invertida,4,512,1000000,21090,6526,0.145070
1,./input/simulador.log,lru,invertida,4,1024,1000000,11240,4092,0.144102
1,./input/simulador.log,lru,invertida,4,2048,1000000,5823,2444,0.144541
1,./input/simulador.log,lru,invertida,4,4096,1000000,4468,1846,0.136313
1,./input/simulador.log,lru,invertida,4,8192,1000000,3951,1356,0.151139
1,./input/simulador.log,lru,invertida,4,16384,1000000,3890,0,0.148041
1,./input/simulador.log,fifo,densa,4,128,1000000,85283,18805,0.151836
1,./input/simulador.log,fifo,densa,4,256,1000000,48301,11936,0.133665
1,./input/simulador.log,fifo,densa,4,512,1000000,27778,8346,0.131650
1,./input/simulador.log,fifo,densa,4,1024,1000000,15440,5426,0.146201
1,./input/simulador.log,fifo,densa,4,2048,1000000,8089,3353,0.151220
1,./input/simulador.log,fifo,densa,4,4096,1000000,5492,2368,0.137332
1,./input/simulador.log,fifo,densa,4,8192,1000000,4314,1581,0.133995
1,./input/simulador.log,fifo,densa,4,16384,1000000,3890,0,0.143724
1,./input/simulador.log,fifo,hier2,4,128,1000000,85283,18805,0.155054
1,./input/simulador.log,fifo,hier2,4,256,1000000,48301,11936,0.138198
1,./input/simulador.log,fifo,hier2,4,512,1000000,27778,8346,0.148451
1,./input/simulador.log,fifo,hier2,4,1024,1000000,15440,5426,0.140985
1,./input/simulador.log,fifo,hier2,4,2048,1000000,8089,3353,0.133392
1,./input/simulador.log,fifo,hier2,4,4096,1000000,5492,2368,0.153116
1,./input/simulador.log,fifo,hier2,4,8192,1000000,4314,1581,0.161045
1,./input/simulador.log,fifo,hier2,4,16384,1000000,3890,0,0.156712
1,./input/simulador.log,fifo,hier3,4,128,1000000,85283,18805,0.152939
1,./input/simulador.log,fifo,hier3,4,256,1000000,48301,11936,0.177384
1,./input/simulador.log,fifo,hier3,4,512,1000000,27778,8346,0.149345
1,./input/simulador.log,fifo,hier3,4,1024,1000000,15440,5426,0.129092
1,./input/simulador.log,fifo,hier3,4,2048,1000000,8089,3353,0.134809
1,./input/simulador.log,fifo,hier3,4,4096,1000000,5492,2368,0.143605
1,./input/simulador.log,fifo,hier3,4,8192,1000000,4314,1581,0.135862
1,./input/simulador.log,fifo,hier3,4,16384,1000000,3890,0,0.129585
1,./input/simulador.log,fifo,invertida,4,128,1000000,85283,18805,0.159901
1,./input/simulador.log,fifo,invertida,4,256,1000000,48301,11936,0.148586
1,./input/simulador.log,fifo,invertida,4,512,1000000,27778,8346,0.139615
1,./input/simulador.log,fifo,invertida,4,1024,1000000,15440,5426,0.145490
1,./input/simulador.log,fifo,invertida,4,2048,1000000,8089,3353,0.150193
1,./input/simulador.log,fifo,invertida,4,4096,1000000,5492,2368,0.157313
1,./input/simulador.log,fifo,invertida,4,8192,1000000,4314,1581,0.153350
1,./input/simulador.log,fifo,invertida,4,16384,1000000,3890,0,0.159476
1,./input/simulador.log,random,densa,4,128,1000000,88604,19468,0.127359
1,./input/simulador.log,random,densa,4,256,1000000,51801,12682,0.150237
1,./input/simulador.log,random,densa,4,512,1000000,28928,8408,0.164233
1,./input/simulador.log,random,densa,4,1024,1000000,15713,5445,0.130816
1,./input/simulador.log,random,densa,4,2048,1000000,8905,3499,0.126075
1,./input/simulador.log,random,densa,4,4096,1000000,5995,2434,0.149193
1,./input/simulador.log,random,densa,4,8192,1000000,4515,1379,0.134566
1,./input/simulador.log,random,densa,4,16384,1000000,3890,0,0.154219
1,./input/simulador.log,random,hier2,4,128,1000000,88540,19570,0.142422
1,./input/simulador.log,random,hier2,4,256,1000000,52131,12840,0.138767
1,./input/simulador.log,random,hier2,4,512,1000000,29020,8469,0.133416
1,./input/simulador.log,random,hier2,4,1024,1000000,15644,5396,0.133894
1,./input/simulador.log,random,hier2,4,2048,1000000,8835,3473,0.131090
1,./input/simulador.log,random,hier2,4,4096,1000000,5907,2416,0.134483
1,./input/simulador.log,random,hier2,4,8192,1000000,4499,1337,0.144549
1,./input/simulador.log,random,hier2,4,16384,1000000,3890,0,0.145137
1,./input/simulador.log,random,hier3,4,128,1000000,88524,19384,0.126506
1,./input/simulador.log,random,hier3,4,256,1000000,51944,12717,0.132137
1,./input/simulador.log,random,hier3,4,512,1000000,29139,8531,0.135547
1,./input/simulador.log,random,hier3,4,1024,1000000,15781,5492,0.136142
1,./input/simulador.log,random,hier3,4,2048,1000000,8874,3453,0.133571
1,./input/simulador.log,random,hier3,4,4096,1000000,5976,2416,0.137282
1,./input/simulador.log,random,hier3,4,8192,1000000,4516,1401,0.142347
1,./input/simulador.log,random,hier3,4,16384,1000000,3890,0,0.131717
1,./input/simulador.log,random,invertida,4,128,1000000,88808,19525,0.135980
1,./input/simulador.log,random,invertida,4,256,1000000,51836,12649,0.156062
1,./input/simulador.log,random,invertida,4,512,1000000,29196,8529,0.134978
1,./input/simulador.log,random,invertida,4,1024,1000000,15908,5518,0.152296
